AÅŸÄ±labilir Engel Seviyesi,Aşılabilir Engel Seviyesi,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,GÃ¼Ã§ (Watt),Güç (Watt),HaritalandÄ±rma,Haritalandırma,Hazne Kapasitesi,Ses Seviyesi,Uygulama Ãœzerinden Kontrol,Uygulama Üzerinden Kontrol,Yer Silme Ã–zelliÄŸi,Yer Silme Özelliği,Ã–zellik,Ã‡alÄ±ÅŸma Modu SayÄ±sÄ±,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çalışma Modu Sayısı,Özellik,Şarjlı Kullanım Süresi,url,price
,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,,,,51 Dba - 60 Dba,,,,,Robot,,,,,,https://www.trendyol.com//hobot/368-cam-temzileme-fayans-silme-robotu-cep-telefonu-uygulamasi-ve-uzaktan-kumanda-p-66425674?boutiqueId=61&merchantId=167560,"10.999,99 TL"
,4+ cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//fakir/robert-rs-730-robot-supurge-p-752971163?boutiqueId=620489&merchantId=968,10.176 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Yok,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//irobot/roomba-i5-robot-supurge-p-680433707?boutiqueId=61&merchantId=222627,12.899 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//homend/alex-laser-1282h-moplu-ve-haritalamali-akilli-robot-supurge-2023-model-siyah-p-148999959?boutiqueId=61&merchantId=230835,8.999 TL
,3 cm,,2 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/homerun-7000-yeni-serisi-3-u-1-arada-islak-kuru-ve-moplu-ultra-yuksek-emis-gucu-robot-supurge-p-776683064?boutiqueId=61&merchantId=825207,44.899 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//lydsto/s1-max-uv-ve-ozon-sterilizasyonlu-8000-pa-yapay-zeka-akilli-robot-supurge-p-769582222?boutiqueId=61&merchantId=217399,19.999 TL
,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,2401 Watt ve Ãœzeri,,,,,51 Dba - 60 Dba,,,,,Robot,,,,,,https://www.trendyol.com//sunny/hero-sn7rbt01-moplu-akilli-robot-supurge-p-203892021?boutiqueId=61&merchantId=149670,8.990 TL
,2 cm,,2 Yıl,,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,,Robot,,https://www.trendyol.com//xiaomi/lazer-ve-lds-lidar-tarama-cift-katmanli-kompozit-paspas-ultra-guc-mihome-uygulamasi-robot-supurge-p-784357383?boutiqueId=61&merchantId=881452,"19.370,65 TL"
,3 cm,,2 Yıl,Resmi Distribütör Garantili,,2001 Watt ve Üzeri,,Yok,0-250 L,51 Dba - 60 Dba,,Var,,Yok,,,,,Robot,,https://www.trendyol.com//tcl/sweeva2000-robot-supurge-siyah-turkiye-garantili-p-218355746?boutiqueId=61&merchantId=277121,6.199 TL
,4+ cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),0-250 L,71 Dba - 80 Dba,,Var,,Yok,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//irobot/roomba-j7-robot-supurge-p-300462533?boutiqueId=61&merchantId=230167,17.799 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//xiaomi/wi-fi-akilli-kontrol-lidar-tarama-8000pa-yuksek-guc-mi-robot-robot-supurge-p-779517505?boutiqueId=61&merchantId=881452,21.769 TL
,,,2 Yıl,,,0 - 250 Watt,,,,71 Dba - 80 Dba,,,,,,,,,Robot,,https://www.trendyol.com//karaca/homend-alex-laser-akilli-robot-supurge-beyaz-p-161228679?boutiqueId=61&merchantId=807424,15.000 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//dreame/vacuum-bot-l10-pro-robot-supurge-turkiye-garantili-p-109753248?boutiqueId=61&merchantId=540545,15.999 TL
,1 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Yok,0-250 L,51 Dba - 60 Dba,,Yok,,Yok,,,,2,Şarjlı / El,30 - 60 dk,https://www.trendyol.com//tamamelek/kumandali-ev-temizligi-robot-supurge-p-412370153?boutiqueId=61&merchantId=253966,2.100 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,499-250 Watt,,Yok,250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,2,Robot,120 dk ve üzeri,https://www.trendyol.com//beko/rs-2221-robot-supurge-p-774753116?boutiqueId=61&merchantId=310008,8.250 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//irobot/braava-jet-m6-robot-paspas-beyaz-p-256044166?boutiqueId=61&merchantId=222627,19.999 TL
,4+ cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,71 Dba - 80 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//roborock/q5-pro-robot-supurge-p-784479646?boutiqueId=61&merchantId=287341,20.849 TL
2 cm,,2 YÄ±l,,Ä°thalatÃ§Ä± Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,250-500 L,51 Dba - 60 Dba,Var,,Var,,Robot,3+,60 - 120 dk,,,,https://www.trendyol.com//xiaomi/mi-vacuum-mop-pro-robot-supurge-ve-paspas-siyah-p-176743936?boutiqueId=61&merchantId=601117,12.999 TL
,2 cm,,2 Yıl,,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//philips/islak-ve-kuru-istasyonlu-robot-supurge-otomatik-bosaltma-istasyonlu-p-759164516?boutiqueId=61&merchantId=153143,"30.560,66 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//yui/s7-nomopzone-ozellikli-akilli-robot-vacuum-mop-supurge-siyah-yui-turkiye-garantili-p-645207128?boutiqueId=61&merchantId=836456,10.699 TL
,3 cm,,2 Yıl,Resmi Distribütör Garantili,,3000 W,,Kamera (VSLAM + SLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,2,Robot,120 dk ve üzeri,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-pro-p-740046411?boutiqueId=61&merchantId=240825,11.100 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Kamera (VSLAM + SLAM),0-250 L,71 Dba - 80 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//arcelik/imperium-robo-3-0-robot-supurge-premium-wi-fi-baglantisi-p-773321606?boutiqueId=61&merchantId=409995,23.299 TL
1 cm,,2 YÄ±l,,,0 - 250 Watt,,Yok,,0-250 L,5 Dba - 10 Dba,Yok,,Yok,,,,,,,,https://www.trendyol.com//hellove/supurge-koruyucu-xiaomi-vacuum-mop-2-pro-plus-siyah-yuzey-sticker-cizilme-onleyici-etiket-maskeleyic-p-467494533?boutiqueId=61&merchantId=116512,"199,89 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2200 Watt,,Yok,250-500 L,5 Dba - 10 Dba,,Var,,Var,,,,1,Robot,30 - 60 dk,https://www.trendyol.com//yeedi/vac-max-beyaz-renk-akilli-robot-supurge-ve-paspas-resmi-distributor-garantili-p-283933787?boutiqueId=61&merchantId=825144,6.299 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//dreame/d10s-plus-akilli-robot-supurge-p-744057809?boutiqueId=61&merchantId=108796,17.499 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/homerun-7000-serisi-3-u-1-arada-5000pa-ultra-yuksek-emis-gucu-robot-supurge-mop-p-778531881?boutiqueId=61&merchantId=530549,33.023 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2000 W ve altı,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//omix/omix-mixbot-plus-robot-supurge-siyah-p-299670514?boutiqueId=61&merchantId=205669,5.484 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,2200 W,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/mi-robot-vacuum-8000pa-akilli-robot-supurge-dunyanin-en-guclu-robot-supurgesi-p-691076663?boutiqueId=61&merchantId=566427,14.899 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Kamera (VSLAM + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//xiaomi/mi-robot-ultra-akilli-robot-supurge-ve-paspas-siyah-2022-model-p-273967496?boutiqueId=61&merchantId=601117,11.149 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//karaca/vantuz-off-road-rs007-2in1-vacumm-and-mop-p-782881732?boutiqueId=61&merchantId=900265,14.000 TL
,1 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,71 Dba - 80 Dba,,Var,,Yok,,,,3+,,60 - 120 dk,https://www.trendyol.com//eufy/anker-eufy-robovac-15c-akilli-robot-supurge-coklu-temizleme-modu-0-6l-hazne-100dk-sure-p-753326665?boutiqueId=61&merchantId=262598,9.987 TL
,2 cm,,3 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Yok,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//trident/t22s-pro-cop-kovali-robot-supurge-beyaz-2-1-3-yil-uretici-garantili-p-743393604?boutiqueId=61&merchantId=376856,10.999 TL
,1 cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,61 Dba - 70 Dba,,Yok,,Var,,,,,,30 - 60 dk,https://www.trendyol.com//karaca/vantuz-off-road-premium-3in1-otomatik-toz-hazneli-konusan-robot-supurge-p-770136264?boutiqueId=61&merchantId=711227,19.799 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2400 W,,Lazer (LIDAR + SLAM),1500+ L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//beko/robot-supurge-p-729666611?boutiqueId=61&merchantId=873627,17.499 TL
,,,2 Yıl,,,2201 - 2400 Watt,,,,51 Dba - 60 Dba,,,,,,,,,,,https://www.trendyol.com//hoover/h-go-300-hydro-2si-1-arada-akilli-robot-supurge-ve-paspas-siyah-p-137557820?boutiqueId=61&merchantId=455417,"11.544,11 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,2,Robot,120 dk ve üzeri,https://www.trendyol.com//yeedi/mop-station-beyaz-renk-akilli-robot-supurge-ve-paspas-resmi-distributor-garantili-p-356501270?boutiqueId=61&merchantId=866034,14.449 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Yok,500-1000 L,61 Dba - 70 Dba,,Var,,Yok,,,,1,Robot,60 - 120 dk,https://www.trendyol.com//irobot/roomba-693-akilli-robot-supurge-p-153791356?boutiqueId=61&merchantId=337950,11.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//lydsto/r1-pro-cop-istasyonlu-akilli-robot-supurge-beyaz-turkiye-garantili-p-303038347?boutiqueId=61&merchantId=217399,12.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/3000-serisi-islak-kuru-moplu-siyah-robot-supurge-4000-pa-sert-zemin-ve-haliya-uygun-p-759353274?boutiqueId=61&merchantId=614180,"18.888,99 TL"
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-pro-akilli-robot-supurge-beyaz-1-yil-ek-garanti-hediye-p-639952912?boutiqueId=61&merchantId=197550,13.599 TL
,,2 YÄ±l,,Ä°thalatÃ§Ä± Garantili,0 - 250 Watt,,,,,61 Dba - 70 Dba,,,,,Robot,,,,,,https://www.trendyol.com//lenovo/robot-vacuum-cleaner-e1-p-62555785?boutiqueId=61&merchantId=269948,6.999 TL
,2 cm,,2 Yıl,,,0 - 250 Watt,,Jiroskop (SLAM /ESLAM),250-500 L,41 Dba - 50 Dba,,Var,,Yok,,,,,,,https://www.trendyol.com//tp-link/tapo-rv30-lidar-navigasyonlu-robot-supurge-ve-paspas-p-752608468?boutiqueId=61&merchantId=106934,9.599 TL
,1 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//soultech/robot-vacuum-mop-siyah-akilli-robot-supurge-p-78211237?boutiqueId=61&merchantId=594255,5.964 TL
,4+ cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Yok,0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//karcher/rcv3eu-robot-supurge-p-670886420?boutiqueId=61&merchantId=109693,13.979 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//electrolux/er61uw1dg-akilli-robot-supurge-p-754828197?boutiqueId=61&merchantId=129199,12.950 TL
,1 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,61 Dba - 70 Dba,,Var,,Yok,,,,,Robot,60 - 120 dk,https://www.trendyol.com//karcher/karcher-rcv-3-robot-supurge-p-746761628?boutiqueId=61&merchantId=109514,19.000 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,499-250 Watt,,Lazer (LIDAR + SLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//eufy/anker-robovac-lr30-hybrid-supurge-t2181-p-699219397?boutiqueId=61&merchantId=143549,13.799 TL
,2 cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,41 Dba - 50 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//beko/rs-2221-robot-supurge-p-764729226?boutiqueId=61&merchantId=310008,8.250 TL
1 cm,,2 YÄ±l,,,0 - 250 Watt,,Yok,,0-250 L,5 Dba - 10 Dba,Yok,,Yok,,,,,,,,https://www.trendyol.com//hellove/supurge-koruyucu-xiaomi-vacuum-mop-2c-beyaz-yuzey-sticker-cizilme-onleyici-etiket-maskeleyici-p-401941059?boutiqueId=61&merchantId=116512,"199,89 TL"
,3 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Yok,0-250 L,51 Dba - 60 Dba,,Yok,,Yok,,,,,Robot,,https://www.trendyol.com//cambot/win3030-otomatik-cam-silme-robotu-p-52403536?boutiqueId=61&merchantId=106230,7.890 TL
,4+ cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Jiroskop (SLAM /ESLAM),500-1000 L,51 Dba - 60 Dba,,Var,,Var,,,,2,Robot,60 - 120 dk,https://www.trendyol.com//karcher/rcv-3-robot-supurge-p-743399811?boutiqueId=61&merchantId=693141,14.799 TL
,1 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,,,60 - 120 dk,https://www.trendyol.com//yeedi/istasyonlu-robot-vacuum-mop-supurge-2500pa-emis-3500-ml-su-ve-atik-deposu-p-753328442?boutiqueId=61&merchantId=262598,18.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/evrekala-shop-robot-supurge-philips-4000-pa-ekstra-guclu-yetkili-satici-evrekala-p-763417985?boutiqueId=61&merchantId=409995,15.999 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//arzum/ar4304-robotek-x4-lds-akilli-robot-supurge-siyah-p-286478499?boutiqueId=61&merchantId=765943,10.599 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,499-250 Watt,,Lazer (LIDAR + SLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//beko/hm-robot-supurge-rs-8034-p-84589785?boutiqueId=61&merchantId=754840,14.799 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,2,Robot,120 dk ve üzeri,https://www.trendyol.com//viomi/s9-robot-vacuum-cleaner-akilli-robot-supurge-siyah-p-119055950?boutiqueId=61&merchantId=480591,12.750 TL
,3 cm,,2 Yıl,Resmi Distribütör Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/homerun-7000-serisi-islak-kuru-mop-ozelligi-ultra-yuksek-emis-gucu-aqua-istasyonlu-robot-supurge-p-773475549?boutiqueId=61&merchantId=153143,"34.548,99 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,51 Dba - 60 Dba,,Var,,Yok,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//ttec/robi-pro-laseriq-teknolojili-japon-fircasiz-motorlu-akilli-robot-supurge-ve-paspas-p-339349440?boutiqueId=61&merchantId=642804,7.800 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/vp-3000-serisi-islak-kuru-moplu-beyaz-robot-supurge-4000-pa-0-35-litre-14-76-v-beyaz-p-758379810?boutiqueId=61&merchantId=455417,"15.144,11 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),1500+ L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/islak-ve-kuru-temizlik-robotu-4000-pa-sert-zemin-ve-haliya-uygunxu3110-02-homerun-3000-serisi-aqua-p-759353146?boutiqueId=61&merchantId=531586,20.000 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Kamera (VSLAM + SLAM),0-250 L,71 Dba - 80 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//arcelik/imperium-robo-3-0-robot-supurge-premium-wi-fi-baglantisi-p-773319384?boutiqueId=61&merchantId=409995,23.299 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,250-500 L,51 Dba - 60 Dba,Var,,Var,,Robot,3+,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//midea/m7-vacuum-and-mop-akilli-robot-supurge-p-55252944?boutiqueId=61&merchantId=885333,16.998 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//electrolux/pure-i9-2-pi92-6dgm-57-v-li-ion-100dk-sarjli-robot-supurge-p-39576282?boutiqueId=61&merchantId=246502,8.490 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,41 Dba - 50 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//beko/rs-2221-robot-supurge-p-770230202?boutiqueId=61&merchantId=310008,8.250 TL
,2 cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//icotech/f10-max-plus-uyumlu-robot-supurge-yedek-parca-seti-p-777665323?boutiqueId=61&merchantId=851340,999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,31 Dba - 40 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//beko/robo-x-2-0-rs-8121-robot-supurge-p-669792295?boutiqueId=61&merchantId=791389,13.299 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,2201 - 2400 Watt,,Jiroskop (SLAM /ESLAM),500-1000 L,5 Dba - 10 Dba,,Var,,Yok,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//redline/robored-g1-robot-supurge-p-119106904?boutiqueId=61&merchantId=460760,4.359 TL
,3 cm,,2 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/islak-kuru-ve-mop-ozellikli-premium-robot-supurge-ultra-emis-gucu-lazer-navigasyon-180-dk-sure-p-778721945?boutiqueId=61&merchantId=825207,47.589 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,250-500 L,51 Dba - 60 Dba,Var,,Var,,Robot,3+,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//lydsto/r1-d-akilli-robot-supurge-ve-paspas-beyaz-turkiye-garantili-p-279813216?boutiqueId=61&merchantId=217399,9.499 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//beko/robo-x-2-0-rs-8121-robot-supurge-p-647704073?boutiqueId=61&merchantId=593928,11.399 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//ilife/v5s-pro-akilli-robot-supurge-kuru-ve-islak-temizleme-modu-p-32776887?boutiqueId=61&merchantId=190712,5.499 TL
,2 cm,,3 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,,Robot,,https://www.trendyol.com//philips/islak-kuru-moplu-beyaz-robot-supurge-sert-zemin-ve-haliya-uygun-1-yil-ek-garantili-p-759143150?boutiqueId=61&merchantId=455417,"15.624,11 TL"
,2 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,,120 dk ve üzeri,https://www.trendyol.com//xiaomi/sonik-titresimle-olaganustu-temizlik-yeni-nesil-lds-lazer-navigasyon-sistem-mi-temizlik-robotu-2-pro-p-785469702?boutiqueId=61&merchantId=881452,16.799 TL
,2 cm,,2 Yıl,,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//roborock/vacuum-cleanner-q8-max-plus-robot-supurge-siyah-p-778057992?boutiqueId=61&merchantId=149251,28.919 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2401 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-beyaz-5000-watt-p-777742770?boutiqueId=61&merchantId=409995,34.999 TL
,1 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Yok,0-250 L,51 Dba - 60 Dba,,Yok,,Yok,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//ximeijie/kumandali-ev-temizligi-robot-supurge-p-779998585?boutiqueId=61&merchantId=755844,1.955 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/homerun7100-serisi-islak-kuru-moplu-toz-toplama-istasyonlu-kendini-temizleyen-robot-supurge-5000-pa-p-766067636?boutiqueId=61&merchantId=455417,"44.544,11 TL"
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//bilicra/moby-akilli-robot-supurge-p-87300272?boutiqueId=61&merchantId=250852,6.774 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/homerun-ultra-yuksek-emis-gucu-3100-serisi-otomatik-bosaltma-sistemi-islak-kuru-robot-supurge-beyaz-p-785310678?boutiqueId=61&merchantId=881452,29.899 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,499-250 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//philips/homerun-sezgisel-kullanim-ultra-yuksek-emis-gucu-3000-serisi-yeni-aqua-akilli-robot-supurge-p-785308307?boutiqueId=61&merchantId=881452,21.799 TL
